"ID","NAME","RUNTIME_MIN","START_YEAR","END_YEAR"
1848999,"Melati Van Agam",,1940,
1849003,"Milho",54,2009,
1849006,"Miserable Man",90,2010,
1849008,"Morocco",88,2008,
1849017,"Ningen o kaese",,1981,
1849023,"Oh Iboe",,1938,
1849024,"Omuraisu",,2012,
1849027,"Onigamiden - Legend of the Millennium Dragon",100,2011,
1849033,"Pah Wongso Pendekar Boediman",,1940,
1849041,"Police State 4: The Rise of FEMA",141,2010,
1849042,"Vance and Pepe",53,2011,
1849052,"Rakenrol",113,2011,
1849061,"Retrum",110,,
1849065,"Roesia si Pengkor",,1939,
1849067,"Saazish",140,1998,
1849077,"Siti Akbari",,1939,
1849082,"El Fuego Caliente",,,
1849087,"Spring Eddy",,2012,
1849106,"Deep Within",89,2011,
1849107,"Takamine",105,2011,
1849109,"When He Was 23",113,2011,
1849111,"Superstar",112,2012,
1849112,"Tape",168,2010,
1849113,"Tarot Srbija",60,2010,
1849137,"The Last Laugh",,2011,
1849165,"The Wish",80,2016,
1849170,"Tjiandjoer",,1938,
1849171,"Together We're Heavy",92,2009,
1849184,"Tulak",,2009,
1849192,"Breakfast with Dracula",81,1993,
1849196,"Untamed Virgins",,2011,
1849197,"Urs Fischer",99,2010,
1849200,"Versus",,,
1849201,"Very Normal Activity",65,2010,
1849207,"Waterfall",,2007,
1849217,"Wildwood Inn",,,
1849718,"Agneepath",174,2012,
1849720,"American English",,,
1849722,"Au pays de la mort",,1914,
1849728,"Big Band Nuñez",66,2008,
1849729,"Bikini no umi wa wasurenai",,1990,
1849731,"Boireau, statue par amour",,1914,
1849734,"Breaking the Ice",51,2010,
1849740,"Champions of the Deep",85,2012,
1849742,"Life Is Bearable at Times...",74,2010,
1849747,"Damnés de Paris",,1914,
1849755,"Die Mondverschwörung",86,2011,
1849756,"Dirty Drawings with Happy Endings",51,2010,
1849759,"The Finger",93,2011,
1849763,"Election in Japan 2",97,2011,
1849765,"Child of Morning",90,2011,
1849766,"Fei xia shen dao",85,1970,
1849769,"Four Years, Two Wigs, One Fridge: The Pete Blaggit Story",81,2011,
1849771,"Full Speed or Nothing",45,2011,
1849772,"Hoffmaniada",78,2018,
1849773,"The Report of A Patry",97,2010,
1849775,"Mashina: The Machine",59,2011,
1849786,"Stands Still, the Last Great Wall",101,2009,
1849787,"Karayilekku Oru Kadal Dooram",119,2011,
1849789,"L'effroyable doute",,1919,
1849790,"La bonniche improvisée",,1914,
1849793,"La tournée Farigoule",,1926,
1849795,"La vengeance douloureuse",,1913,
1849797,"Le bon cheval",,1914,
1849798,"Le cavalier de minuit",,1924,
1849801,"Le truc du chemineau",,1913,
1849802,"Les deux gosses",,1916,
1849804,"Life and Death in Iraq",58,2009,
1849810,"Mafia",78,2012,
1849812,"Maman Pierre",,1922,
1849814,"Salve",91,2010,
1849817,"Mediteran",61,2009,
1849818,"Mikey's Extreme Romance",90,2011,
1849820,"Wild Side",,,
1849824,"Mr. Bricks: A Heavy Metal Murder Musical",71,2011,
1849826,"Mário Eloy - Um Pintor em Fuga",59,1998,
1849833,"Old Man's War",,,
1849834,"Open 24h",,2011,
1849844,"Puzzled Love",84,2011,
1849845,"Sudden Lover",,2005,
1849846,"Random Unrelated Projects",91,2010,
1849848,"Rhino Resurrected",77,2012,
1849851,"Roekihati",,1940,
1849855,"Saint-Camille: Les irréductibles",75,2010,
1849856,"No Autumn, No Spring",115,2012,
1849858,"Thirteen 59",90,2011,
1849859,"Some Stars Fall",100,,
1849866,"Surf Adventures 2 - A Busca Continua",88,2008,
1849879,"The Hunting Season",79,2011,
1849882,"The Walkaround",79,2012,
1849884,"The Wisdom of Solomon",84,2011,
1849892,"Titi fait un enlèvement",,1913,
1849903,"Uno de vosotros me traicionará",75,2007,
1849912,"Xiang long fu hu",,1971,
1849913,"Deadly Illusion",90,1998,
1849915,"Zombie Pet Shop",,,
1849916,"Zombies vs. Robots",,,
18499590,"Airline Babes",,2012,
18499602,"American Byproducts",71,,
18499634,"Easy Gold",,2021,
18500038,"Chasing Lemons",,2023,
18500214,"The Amazing Baby Experience",90,2016,
18500334,"Secrets of Coca-Cola: The Billion Dollar Beverage",45,2019,
18500356,"Angela",,,
18500636,"Man on the Edge",113,2022,
18500656,"Code Name: Pinocchio",,,
18500670,"The Doppelgänger Suite",,,
18500680,"Route 10",82,2022,
18500682,"godz",,,
18500692,"Domain",,,
18500696,"The Light",,,
18500700,"Tears of Wrath",,,
18500706,"Hot Cherry Pie",,,
18500716,"En el taller",,2016,
18500722,"The Nightwind",,,
18500740,"Apogee to Murder",,,
18500962,"Trapped",,2022,
18500966,"A Man of the People",105,2021,
18500978,"Ángel de la Muerte",,2017,
18501036,"Tres",96,2022,
18501226,"Oashik",,2022,
18501318,"Shesh Chumbon",,2017,
18501772,"Toucher le ciel - Burj Khalifa",,2017,
18501778,"The Neighbours from Upstairs",88,2023,
18501788,"Little Sister",69,2020,
18501796,"Un monde flottant",62,1995,
18501832,"Earth Protectors",96,2023,
18501834,"PUNK, Il était une fois Gilles Bertin (Too Punk to Die)",56,2021,
18501848,"Tokyo Love",90,1996,
18501878,"School Trouble",,2014,
18501888,"Headspace",85,2023,
18501954,"To Spanish Women. María Lejárraga",88,2022,
18501996,"Ghost Voices",,2026,
18502024,"Grieg",,,
18502100,"Schoon Lier",154,2002,
18502104,"Brian May & Kerry Ellis: The Candlelight concerts - Live at Montreux 2013",87,2014,
18502170,"Son Anonimo: Músicos De La Ciudad",,2005,
18502302,"Tu non sai le colline",45,2022,
18502366,"Lisandro Boccacci's Feature of Short Films",,2025,
18502410,"inkling",,,
18502434,"Fez Summer '55",117,2023,
18502538,"Constance",717,2021,
1850331,"Amours exotiques",,1927,
1850334,"Away",91,2011,
1850339,"Between Hell and a Heartbeat",83,2011,
1850350,"Colomba",,1920,
1850352,"Confiscated Police Video",80,2004,
1850353,"De l'amour à la mort",,1916,
1850360,"El rito",77,2006,
1850361,"Emily's Kiss",87,2011,
1850363,"Ertkhel Shua Qalaqshi",90,2011,
1850377,"Kindred",93,2011,
1850378,"Kurosawa Film 2",,2011,
1850394,"The Dream Team",97,2012,
1850397,"The Loft",108,2014,
1850398,"Lorena",,1918,
1850415,"Purgatory",112,2011,
1850418,"To Write Love on Her Arms",102,2012,
1850419,"Rhino Season",88,2012,
1850428,"Something Cliqued",,,
1850432,"Survivre",,1923,
1850434,"Tatoo",56,1998,
1850440,"The Bodyguard",,,
1850451,"The Tradesmen",89,2011,
1850452,"The Weather's Warm When the Sun's Hot",87,2010,
1850456,"Ubuntu Sharing Voices from Cape Town, South Africa",72,2011,
1850457,"Sisters",118,2015,
1850459,"Unwelcome",94,2011,
1850461,"Wake Up",72,2011,
18504870,"Wild Allies",,2021,
18505364,"Trick of the Eye",,,
18506078,"Unlimited",,,
18509100,"Night Ship",,,
1850981,"Chinese Princess Snow White",,1940,
1850984,"Between Life and Death",51,2010,
1850985,"The Jade Hairpin",,1962,
1850987,"Birth of a Band",60,2010,
1850988,"Black Buddhas",58,2011,
1850990,"Tea Boy Kidding His Master",110,1979,
1850991,"Chained and Bound",,,
1850992,"Dong Biwu: A Veteran Revolutionary",,1981,
1850998,"The Hunger Marchers",,1949,
1851001,"Fabled Enemies",,2008,
1851002,"Fake Blood",82,2010,
1851006,"Goltzius and The Pelican Company",128,2012,
1851007,"Hasen and Jiamila",110,1955,
1851008,"Hayaku okita asa wa ...On Stage the Movie",,2011,
1851010,"Power and Sword",,1940,
1851011,"The Pirates of the Yellow Sea",,1938,
1851013,"Yue Fei, a National Hero",114,1940,
1851015,"L'amour sur du sable",,1970,
1851019,"Leopard",60,2011,
1851020,"Melancholy Hatred",,1938,
1851021,"A Remote Village",89,1950,
1851022,"Lin Chong, the Outlaw",,1939,
1851023,"Lin Chong",90,1958,
1851024,"Third Sister Liu",130,1978,
1851028,"The Hell",,1941,
1851032,"No Pretty Prayer",65,2011,
1851033,"Welcome Home, Hayabusa",114,2012,
1851034,"On the Streets",89,2010,
1851037,"Parta ola",90,2003,
1851041,"The Old Man and the Fairy",,1956,
1851042,"Ralph Erskine",58,1986,
1851043,"Give Up Xuzhou City",,1976,
1851046,"Salivate",117,2011,
1851047,"Love for the Children",,1948,
1851048,"Four Concubines",,1938,
1851050,"Silvio Forever",80,2011,
1851061,"The German-Americans: 300 Years in the New Land",57,1983,
1851064,"The Healing Within",52,2006,
1851073,"The Protector",70,2010,
1851081,"Trafics dans l'ombre",88,1964,
1851085,"Wild 7",109,2011,
1851086,"Little Angel",100,1935,
1851087,"Yan zhi lei",,1938,
1851089,"A Spring Melody",,1947,
1851090,"Third Sister You",,1963,
1851091,"Lover on the Battlefield",,1941,
1851092,"Marriage",,1947,
1851093,"The Family with Chivalry",64,1946,
1851094,"Soaring Aspirations",,1936,
18511452,"Strange Case of Dr Jekyll and Mr Hyde",83,2021,
18516762,"Black Coffin",76,2022,
1851831,"27 Down",116,2009,
1851838,"A Year Without Rent",,2012,
1851841,"Aaghaat",130,2010,
1851848,"Another Kind",76,2013,
1851856,"Back from the Dread",80,2010,
1851859,"Bananas from Sunny Québec",93,1993,
1851862,"Benchu ziwuxian",76,2010,
1851871,"Choyleefut: Speed of Light",93,2011,
1851875,"Carta de Chamada",,2005,
1851880,"Crebinsky",85,2011,
1851881,"Crew Film: TheVolume",45,2010,
1851882,"Cross-Channel",105,2011,
1851884,"Czerwona rewolucja",,1998,
1851886,"DMZ",,,
1851887,"Big Land, Flying Eagles",97,1978,
1851894,"Defending Against Attack 'The Complete Guide'",180,2008,
1851905,"Drang",48,2009,
1851908,"Dusk of the Peeping Toms",65,2010,
1851909,"Doraemon: Nobita and the New Steel Troops: ~Winged Angels~",108,2011,
1851922,"Femme",90,2013,
1851923,"Fernes Land",88,2011,
1851928,"Flamenco Between Fences",45,2011,
1851941,"Get Out the Way",71,2016,
1851944,"Good Boys Go to Heaven and Bad Boys Go to Europe",68,2009,
1851947,"Handball Anzacs",85,2011,
1851948,"Haters Watch What Leaders Do: Involve Me and I Will Understand",79,2011,
1851958,"The Murderess",,2012,
1851959,"I nemici del silenzio",62,2011,
1851963,"Improv @ the Nelson",110,2011,
1851974,"Invisible Empire",134,2010,
1851982,"KanZeOn",87,2011,
1851988,"Ko",128,2011,
1851996,"La mer et ses princes",,1988,
1851998,"La tela protectora",96,2010,
1852001,"Elza",78,2011,
1852003,"Le temps d'une chasse",51,2007,
18520048,"Intimacy Management",,,
1852006,"The Snows of Kilimanjaro",90,2011,
1852010,"Little Dancer",110,2012,
1852016,"Love Pills 2",,2010,
1852023,"Maybe Tomorrow",94,2014,
1852024,"Membrane",116,1983,
1852028,"Minds in the Water",90,2011,
1852036,"Mr Perfect",144,2011,
1852038,"Mtebis Simgera",52,2010,
1852040,"Myn Bala: Warriors of the Steppe",132,2012,
1852049,"New Garage Explosion: In Love with These Times",73,2010,
1852050,"Ni pies ni cabeza",,2012,
1852051,"Niwa ni onegai",78,2011,
1852060,"Oko Boga",92,2001,
1852066,"Oul de cuc",90,2010,
1852069,"Passion Island",93,2012,
1852071,"Political Dress",62,2011,
1852076,"Qasam Se Qasam Se",145,2012,
1852077,"Quivering Norman",,2011,
1852085,"Reflections and Warnings: An Interview with Aaron Russo",96,2009,
1852087,"Rentjong Atjeh",,1940,
1852088,"Rest in Peace",92,2010,
1852095,"Semalam Di Rumah Bonita: A Concert Film",130,2011,
1852097,"Circle of Lies",82,2012,
1852098,"Single",102,2011,
1852100,"Slums Drums and Capoeira",,2010,
1852102,"Sorga Ka Toedjoe",,1940,
1852103,"Sorga Palsoe",,1940,
1852107,"Starting with Me",,2006,
18521078,"Po stranitsam «Vokrug smekha». 1978-1980",180,2006,
1852110,"Sunflower Hour",90,2011,
1852112,"Svet Koji Nestaje",109,1987,
1852113,"Svyaz vremyon",,2010,
1852114,"The Jonas Project",109,2012,
1852116,"Tajomne Mamberamo",,2000,
1852124,"The Cohesion Project",,,
1852126,"The End",95,2011,
1852129,"The God Squad",70,2013,
18521364,"Viernes Santo, la historia de Chema Saher",,2015,
1852137,"The Paranormal Diaries: Clophill",92,2013,
1852151,"Secret of the Seal",83,1992,
1852152,"Trapped in Abyss",,2010,
1852153,"Trasharella Ultra Vixen",86,2011,
1852154,"Trattoria",82,2012,
1852163,"Un enfant sur le lac",,1992,
1852171,"Vides Transsexuals",,2011,
1852176,"Private Life",85,1987,
1852177,"Walking Beside Me",90,1986,
1852179,"Ye Mothers",90,2010,
1852182,"Zoebaida",,1940,
18524154,"The Adventures of Peanut and Pig",75,2022,
18526902,"Dolphin Boy",85,2022,
1852728,"A. Aallon Rytmiorkesteri - Nää on niitä hetkii",77,2010,
1852730,"Fait Accompli",90,1994,
1852731,"Album",50,2011,
1852738,"Austistic",59,2009,
1852741,"Bitirim Kardesler",82,1973,
1852742,"Bitirimler Sosyetede",86,1973,
1852746,"Brutality",,2020,
1852752,"Chu nu shen shi chai bai dang",,1977,
1852753,"Cien Años de la Residencia de Estudiantes",60,2010,
1852761,"Da ming xiao zi",,1979,
1852763,"A Summer with the Grizzlies",50,2011,
1852770,"Dracula 3D",110,2012,
1852777,"Ek Number Ka Chor",180,1990,
1852785,"Fear of the Park",53,2010,
1852801,"Green Tea-r: Midori no namida",,2004,
1852805,"How the Myth Was Made: A Study of Robert Flaherty's Man of Aran",59,1978,
1852809,"I Love Sarah Jane",,,
1852815,"Jaywick Escapes",48,2012,
1852816,"Joe",,,
1852819,"Kabaddi Ikk Mohabbat",158,2010,
1852828,"Lelio Popo",,2010,
1852834,"Line of Sight",,,
1852838,"Lucky",98,2011,
1852840,"Martin Matte - Condamné à l'excellence",,2010,
1852843,"Midnight Abyss",80,2011,
1852845,"Monologue of a Young Woman",60,1980,
1852858,"Ne Umduk Ne Bulduk",87,1976,
1852865,"O qizi tapin",87,1970,
1852874,"Passi el que passi",81,2011,
1852878,"Pisi Pisi",62,1975,
1852886,"Rachmaninoff",102,2007,
1852890,"Raíces Mayas",,2010,
1852894,"Roccella Jazz Festival",,2010,
1852896,"Sahid qiz",82,1990,
1852904,"Overheard 2",121,2011,
1852906,"Skittin Across America: Skit-A-Palooza",,2011,
1852912,"Still Small Voice",57,2009,
1852923,"That's My Time",67,2008,
1852947,"The Sacred",85,2012,
1852949,"Top Priority: The Terror Within",98,2012,
1852964,"War of the Wombats",,2006,
1852967,"Who's Driving the Dreambus?",99,2009,
1852974,"Yakel 3D",74,2012,
1852975,"Yö - Kolmen illan varietee",280,2006,
1852977,"CO2",120,2010,
1853481,"The Sick and Twisted Tale of Frankenstein",,2015,
1853487,"A Keeper's Diary",63,2008,
1853494,"Aijin OL eguri sekkan",,2011,
1853504,"Bangkang papel",105,2011,
1853507,"Behaviors",104,2012,
1853517,"Bridge 13",,2006,
1853519,"Calling Spielberg",,,
1853532,"Dalida",,,
1853538,"Dehors-dedans",80,1975,
1853539,"Delivery",78,2009,
1853544,"Die schwarzen Brüder",100,2013,
1853548,"Dreamworld",92,2012,
1853550,"Echo of the Elephants",49,2005,
1853555,"Ex-Girlfriends",72,2012,
1853557,"Falling Slowly",,2020,
1853563,"Foo Fighters: Back and Forth",101,2011,
1853565,"Found Footage",64,2011,
1853572,"One Last Game",82,2011,
1853574,"Half Brother",,,
1853580,"Iblis",74,1973,
1853588,"The Succulent Succubus",62,2011,
1853589,"Kirik Hayat",80,1973,
1853590,"Kisho Kurokawa: From Metabolism to Symbiosis",58,1993,
1853595,"Legend of the Serpent",60,2009,
1853606,"Marvin Seth and Stanley",75,2012,
1853607,"Masikip sa tatlo",100,2011,
1853612,"Milano 2015 Exposed",58,2010,
1853613,"Mommy & Me",106,2011,
1853614,"A Letter to Momo",120,2011,
1853617,"Mother of Mercy, Is This the End of Doublespeak?",98,2011,
1853619,"Movie",86,2011,
1853620,"My Father and the Man in Black",87,2012,
1853622,"My Substitute Is an Alien",,,
1853628,"O.A.R.: Live from Madison Square Garden",130,2008,
1853634,"Out of the Blue: The Story of the Santa Cruz Surfing Club",75,2010,
1853642,"Praschan Requiem",95,2012,
1853643,"Why Stop Now?",85,2012,
1853646,"Queens of the Dead",84,2011,
1853648,"Redlegs",67,2012,
1853650,"Robert Venturi and Denise Scott Brown",57,1987,
1853666,"Stirling",60,1986,
1853667,"Stomping on the Devil's Head",105,2011,
1853673,"Dry Summer",79,1974,
1853680,"Tadao Ando",58,1988,
1853687,"The 7 Day Diary",90,2011,
1853693,"The Chronicles of Rick Roll",,,
1853696,"The Elders",78,2012,
1853699,"The Fear (El Miedo)",88,2006,
1853701,"The Fix:",,2011,
1853705,"The House on the Edge of the Park: Part II",91,,
1853711,"The New Modernists 9: American Architects",58,1993,
1853712,"The New Modernists: 6 European Architects",58,1992,
1853713,"The Pirates of Somalia: The Untold Story",50,2011,
